model,best_cv_score,best_params,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
XGBoost,0.871838428224444,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 3, ""classifier__n_estimators"": 100}",0.8476975452427881,0.8581161137440758,0.8864749082007344,0.8720650210716436,0.9195713944016074,1834,479,371,2897
GradientBoosting,0.8722599552822494,"{""classifier__learning_rate"": 0.1, ""classifier__max_depth"": 2, ""classifier__n_estimators"": 100}",0.8469808278086365,0.8547912992357437,0.8898408812729498,0.8719640179910045,0.9188661315612199,1819,494,360,2908
SVC,0.8653121901904959,"{""classifier__C"": 0.5, ""classifier__kernel"": ""linear""}",0.8419638057695753,0.8756297229219143,0.8509791921664627,0.8631284916201117,0.9183704896119586,1918,395,487,2781
RandomForest,0.8639296754607196,"{""classifier__max_depth"": null, ""classifier__min_samples_split"": 2, ""classifier__n_estimators"": 100}",0.8369467837305142,0.8492298578199052,0.8772949816401469,0.8630343166767008,0.9122865888668221,1804,509,401,2867
LogisticRegression,0.865345040430225,"{""classifier__C"": 0.1, ""classifier__solver"": ""liblinear""}",0.8423221644866511,0.8792884371029225,0.847001223990208,0.8628428927680798,0.9184108394837122,1933,380,500,2768
DecisionTree,0.8517612219543927,"{""classifier__max_depth"": 3, ""classifier__min_samples_split"": 2}",0.8111449561010572,0.8199421965317919,0.8681150550795593,0.8433412604042806,0.8734798020448522,1690,623,431,2837
